0.379905	0.2165	0.060975
0.222176	0.178986	0.050875
0.192796	0.165825	0.046175
0.17757	0.162497	0.045425
0.167999	0.157745	0.04485
0.161445	0.156	0.04405
0.156388	0.149409	0.042625
0.152399	0.145453	0.040875
0.149131	0.143662	0.039975
0.146273	0.143492	0.040825
0.143805	0.142243	0.04045
0.141729	0.141165	0.04035
0.139879	0.139852	0.040025
0.138168	0.138133	0.0394
0.136569	0.136076	0.038825
0.135102	0.134236	0.038425
0.133684	0.133145	0.03795
0.132423	0.132704	0.0382
0.131269	0.132988	0.03855
0.130181	0.132716	0.038625
