3.60363e-08	2.96201e-07	0.1029
2.2758e-08	1.6456e-07	0.079075
1.11795e-08	1.77141e-07	0.0682
7.03891e-09	1.80338e-07	0.0622
5.76135e-09	1.63128e-07	0.05775
5.10556e-09	1.31155e-07	0.054475
4.68152e-09	1.07482e-07	0.052575
4.4318e-09	9.47687e-08	0.050825
4.27253e-09	8.17465e-08	0.04915
4.15258e-09	6.9491e-08	0.0478
4.01821e-09	6.00289e-08	0.04645
3.90813e-09	5.29685e-08	0.04575
3.83097e-09	4.88565e-08	0.04495
3.78122e-09	4.67598e-08	0.04415
3.74837e-09	4.54517e-08	0.043575
3.71946e-09	4.45841e-08	0.042825
3.68695e-09	4.47496e-08	0.04245
3.64766e-09	4.54386e-08	0.042025
3.60216e-09	4.59738e-08	0.041525
3.55643e-09	4.59055e-08	0.041525
