0.395146	0.269702	0.0768
0.251262	0.231171	0.06155
0.223901	0.201889	0.0562
0.209155	0.195126	0.053375
0.199316	0.193837	0.0539
0.191962	0.178673	0.050675
0.184659	0.164143	0.0457
0.176404	0.163025	0.04495
0.166174	0.142718	0.039475
0.159076	0.134775	0.03785
0.153737	0.13168	0.0373
0.148437	0.12603	0.03505
0.14429	0.129986	0.036475
0.140517	0.125374	0.03435
0.137513	0.126855	0.03505
0.133449	0.123717	0.034425
0.131309	0.120963	0.033625
0.128549	0.12498	0.03425
0.12608	0.12725	0.0347
0.127325	0.124329	0.034475
